City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Lata,40.16,-8.33,54.0,90,50,2.91,PT,2020-04-27 02:59:31
129,Gamba,-2.65,10.0,77.13,90,30,5.91,GA,2020-04-27 02:59:32
130,Khatanga,71.97,102.5,24.98,96,96,10.78,RU,2020-04-27 02:59:32
131,Leningradskiy,69.38,178.42,21.9,94,4,5.75,RU,2020-04-27 02:59:32
132,Kodiak,57.79,-152.41,50.0,53,90,8.05,US,2020-04-27 02:59:33
133,Collie,-33.37,116.15,68.0,48,25,6.38,AU,2020-04-27 02:59:33
134,Tarnogskiy Gorodok,60.5,43.58,30.63,95,57,3.36,RU,2020-04-27 02:59:33
135,Bac Lieu,9.29,105.72,89.64,55,98,21.79,VN,2020-04-27 02:59:33
136,Itarema,-2.92,-39.92,76.53,88,48,4.7,BR,2020-04-27 02:59:33
137,Brae,60.4,-1.35,41.0,80,37,13.87,GB,2020-04-27 02:59:34
138,Plouzane,48.38,-4.62,48.2,93,90,3.36,FR,2020-04-27 02:59:34
139,Linden,6.0,-58.3,75.2,94,75,2.24,GY,2020-04-27 02:59:34
140,Codrington,-38.27,141.97,60.06,61,59,11.27,AU,2020-04-27 02:59:34
141,Ulaangom,49.98,92.07,64.62,19,97,3.98,MN,2020-04-27 02:59:34
142,Rovaniemi,66.5,25.72,24.8,79,20,6.93,FI,2020-04-27 02:56:07
143,Saint-Pierre,-21.34,55.48,75.2,73,7,8.05,RE,2020-04-27 02:59:35
144,Carnarvon,-24.87,113.63,78.8,74,57,13.87,AU,2020-04-27 02:59:36
145,Sisimiut,66.94,-53.67,32.67,93,83,8.28,GL,2020-04-27 02:59:36
146,Ukiah,39.15,-123.21,68.0,11,1,13.87,US,2020-04-27 02:55:56
147,Birjand,32.87,59.22,64.4,45,90,11.41,IR,2020-04-27 02:59:36
148,Prince Rupert,54.32,-130.32,44.6,81,90,17.22,CA,2020-04-27 02:59:37
149,Mahibadhoo,3.78,72.97,85.41,75,6,10.83,MV,2020-04-27 02:59:37
150,Qaanaaq,77.48,-69.36,32.67,89,100,9.46,GL,2020-04-27 02:59:37
151,Darnah,32.77,22.64,63.93,76,47,9.8,LY,2020-04-27 02:55:03
152,Avera,33.19,-82.53,59.0,54,1,16.11,US,2020-04-27 02:58:43
153,Adeje,28.12,-16.73,64.99,72,20,8.05,ES,2020-04-27 02:59:38
154,Vanimo,-2.67,141.3,85.42,70,100,1.5,PG,2020-04-27 02:59:38
155,Inhambane,-23.86,35.38,70.7,74,25,10.71,MZ,2020-04-27 02:59:38
156,Saint-Francois,46.42,3.91,46.4,87,2,2.06,FR,2020-04-27 02:59:39
157,Padang,-0.95,100.35,77.43,83,100,4.16,ID,2020-04-27 02:59:39
158,Tangshan,39.63,118.18,71.01,19,0,3.0,CN,2020-04-27 02:59:39
159,Hays,30.05,-98.03,73.99,49,1,6.93,US,2020-04-27 02:59:39
160,Himatangi,-40.4,175.32,68.0,65,100,5.01,NZ,2020-04-27 02:59:39
161,Touros,-5.2,-35.46,77.0,94,40,11.41,BR,2020-04-27 02:59:40
162,Agadez,19.75,10.25,82.85,12,0,6.31,NE,2020-04-27 02:59:40
163,Kaliyaganj,25.63,88.32,84.7,50,0,9.6,IN,2020-04-27 02:59:40
164,Caravelas,-17.71,-39.25,74.3,74,12,12.44,BR,2020-04-27 02:59:41
165,Curaca,-8.99,-39.91,72.34,72,71,8.5,BR,2020-04-27 02:59:41
166,Lafiagi,8.87,5.42,78.84,76,57,5.03,NG,2020-04-27 02:59:41
167,Chokurdakh,70.63,147.92,32.52,99,100,11.25,RU,2020-04-27 02:59:41
168,Grindavik,63.84,-22.43,41.0,93,40,2.24,IS,2020-04-27 02:59:41
169,Piacabucu,-10.41,-36.43,77.4,87,82,6.31,BR,2020-04-27 02:59:42
170,Vila Velha,-20.33,-40.29,70.0,100,20,3.36,BR,2020-04-27 02:59:36
171,Flic En Flac,-20.27,57.36,75.0,94,20,2.24,MU,2020-04-27 02:59:42
172,Isangel,-19.55,169.27,78.17,72,86,13.98,VU,2020-04-27 02:59:42
173,Corrales,35.24,-106.61,78.01,11,40,12.75,US,2020-04-27 02:59:43
174,Faanui,-16.48,-151.75,83.41,73,0,16.22,PF,2020-04-27 02:59:43
175,Mzimba,-11.9,33.6,61.02,62,44,8.1,MW,2020-04-27 02:59:43
176,Olafsvik,64.89,-23.71,42.51,81,44,6.17,IS,2020-04-27 02:59:43
177,Talnakh,69.49,88.4,26.6,86,40,11.18,RU,2020-04-27 02:59:43
178,Kijang,35.24,129.21,64.4,40,20,11.41,KR,2020-04-27 02:59:44
179,Gunupur,19.08,83.82,83.41,68,17,3.51,IN,2020-04-27 02:59:44
180,Beyneu,45.32,55.2,56.07,84,83,15.75,KZ,2020-04-27 02:59:44
181,Grosseto,42.83,11.25,51.01,87,20,4.7,IT,2020-04-27 02:59:44
182,Abu Dhabi,24.47,54.37,88.0,29,20,4.7,AE,2020-04-27 02:58:02
183,Mahebourg,-20.41,57.7,73.4,94,20,2.24,MU,2020-04-27 02:59:45
184,Najran,17.49,44.13,77.0,44,40,5.46,SA,2020-04-27 02:59:45
185,Ilulissat,69.22,-51.1,41.0,44,71,19.46,GL,2020-04-27 02:59:45
186,Nikolskoye,59.7,30.79,36.0,80,40,4.47,RU,2020-04-27 02:59:46
187,Lagoa,39.05,-27.98,57.47,62,100,9.08,PT,2020-04-27 02:59:46
188,Pisco,-13.7,-76.22,69.01,77,45,13.87,PE,2020-04-27 02:54:52
189,Victoria,22.29,114.16,82.99,54,20,8.05,HK,2020-04-27 02:55:55
190,Moroni,-11.7,43.26,82.53,76,35,18.23,KM,2020-04-27 02:59:47
191,Fortuna,40.6,-124.16,57.0,71,20,5.82,US,2020-04-27 02:59:47
192,Nakamura,32.98,132.93,70.95,31,3,1.34,JP,2020-04-27 02:59:47
193,Nipawin,53.37,-104.0,50.0,66,40,20.8,CA,2020-04-27 02:59:47
194,Margate,51.38,1.39,51.01,61,0,7.78,GB,2020-04-27 02:59:48
195,Bayji,34.93,43.49,67.1,42,0,8.52,IQ,2020-04-27 02:59:48
196,Ignacio Zaragoza,28.38,-107.22,64.87,12,43,9.35,MX,2020-04-27 02:59:48
197,Coquimbo,-29.95,-71.34,57.2,87,0,2.24,CL,2020-04-27 02:59:48
198,Lavrentiya,65.58,-171.0,23.52,92,50,6.73,RU,2020-04-27 02:59:49
199,Yaan,7.38,8.57,78.01,80,100,8.57,NG,2020-04-27 02:59:49
200,Fortuna Foothills,32.66,-114.41,98.6,13,1,6.93,US,2020-04-27 02:57:02
201,Kahului,20.89,-156.47,82.4,51,20,21.92,US,2020-04-27 02:59:49
202,Guangyuan,32.44,105.82,77.0,36,8,2.57,CN,2020-04-27 02:59:49
203,Clarence Town,-32.58,151.78,68.0,88,75,5.82,AU,2020-04-27 02:59:50
204,Tabas,33.6,56.92,69.8,56,32,15.1,IR,2020-04-27 02:59:50
205,Vostok,46.49,135.88,39.79,51,95,6.49,RU,2020-04-27 02:59:50
206,Omboue,-1.57,9.26,78.06,90,70,4.54,GA,2020-04-27 02:59:50
207,Dikson,73.51,80.55,23.34,95,87,12.82,RU,2020-04-27 02:59:50
208,Cherskiy,68.75,161.3,32.29,97,99,15.97,RU,2020-04-27 02:59:51
209,Bud,39.45,-86.18,53.01,60,25,8.43,US,2020-04-27 02:59:51
210,Rio Verde De Mato Grosso,-18.92,-54.84,72.34,68,0,8.05,BR,2020-04-27 02:59:51
211,Rundu,-17.93,19.77,62.6,67,92,2.24,NA,2020-04-27 02:59:51
212,Kimbe,-5.55,150.14,88.34,67,67,4.12,PG,2020-04-27 02:59:52
213,Norman Wells,65.28,-126.83,33.8,40,40,12.75,CA,2020-04-27 02:59:52
214,Cayenne,4.93,-52.33,77.0,100,75,2.24,GF,2020-04-27 02:59:52
215,Tura,25.52,90.22,81.57,50,69,1.77,IN,2020-04-27 02:59:52
216,Esperance,-33.87,121.9,69.8,49,53,14.99,AU,2020-04-27 02:59:53
217,Chimore,-16.98,-65.13,74.19,74,67,2.48,BO,2020-04-27 02:59:53
218,Yulara,-25.24,130.99,78.8,44,29,13.87,AU,2020-04-27 02:59:53
219,Jardim,-21.48,-56.14,75.27,60,0,5.75,BR,2020-04-27 02:59:53
220,Douglas,41.3,-96.17,63.0,51,40,6.93,US,2020-04-27 02:57:31
